binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241031T061259_IFCB127,26,2.003,-70.5667,41.325,12.980529206190713
D20241031T074138_IFCB193,2,3.833,-54.42662683,53.962937,0.5217845030002609
D20241031T082957_IFCB193,7,4.252,-54.2673365,54.05641017,1.6462841015992475
D20241031T085407_IFCB193,3,4.15,-54.21597983,54.08309183,0.7228915662650601
D20241031T085814_IFCB125,2,4.661,-69.957882,43.792114,0.4290924694271616
D20241031T091816_IFCB193,9,4.12,-54.2171105,54.08213533,2.1844660194174756
D20241031T110838_IFCB125,1,4.686,-69.957882,43.792114,0.21340162185232608
D20241031T113222_IFCB125,2,4.73,-69.957882,43.792114,0.4228329809725158
D20241031T114126_IFCB145,1,4.079,-68.291297667,44.435900333,0.2451581269919098
D20241031T143220_IFCB193,3,4.275,-54.21493967,54.0822535,0.7017543859649122
D20241031T150447_IFCB127,10,2.129,-70.5667,41.325,4.697040864255519
D20241031T152039_IFCB193,1,4.257,-54.216928,54.08262267,0.23490721165139772
D20241031T162903_IFCB127,11,2.092,-70.5667,41.325,5.25812619502868
D20241031T205511_IFCB193,3,3.929,-53.73484217,54.35411983,0.7635530669381523
D20241101T011543_IFCB127,14,2.428,-70.5667,41.325,5.766062602965404
D20241101T015751_IFCB127,21,2.318,-70.5667,41.325,9.0595340811044
D20241101T063458_IFCB193,5,3.886,-53.68333367,54.88649033,1.2866700977869274
D20241101T103633_IFCB193,15,3.903,-54.091351,55.12179083,3.8431975403535743
D20241101T121311_IFCB193,14,3.897,-54.08480783,55.11566717,3.59250705671029
D20241101T170855_IFCB127,16,1.248,-70.5667,41.325,12.820512820512821
D20241101T220356_IFCB127,17,1.008,-70.5667,41.325,16.865079365079364
D20241102T021524_IFCB193,18,4.129,-52.93059767,54.81845667,4.359409057883266
D20241102T152626_IFCB125,1,4.549,-69.957882,43.792114,0.21982853374367992
D20241102T233228_IFCB193,6,3.836,-51.9459845,52.669015,1.5641293013555788
D20241103T013745_IFCB127,7,1.757,-70.5667,41.325,3.9840637450199208
D20241103T061140_IFCB127,18,1.707,-70.5667,41.325,10.54481546572935
D20241104T023845_IFCB127,7,1.85,-70.5667,41.325,3.7837837837837838
D20241104T042833_IFCB193,3,4.014,-51.9475515,52.676915,0.7473841554559043
D20241104T100617_IFCB127,5,2.16,-70.5667,41.325,2.314814814814815
D20241104T114004_IFCB193,2,4.027,-51.94966417,52.67530983,0.4966476285075739
D20241105T063316_IFCB127,7,2.128,-70.5667,41.325,3.289473684210526
D20241105T071525_IFCB127,9,2.098,-70.5667,41.325,4.289799809342231
D20241105T171603_IFCB125,1,4.453,-69.957882,43.792114,0.22456770716370986
D20241106T153305_IFCB193,23,3.899,-50.3850225,49.56447683,5.898948448320082
D20241107T143527_IFCB127,10,2.048,-70.5667,41.325,4.8828125
D20241107T194051_IFCB193,4,3.578,-52.730984,48.392323,1.1179429849077698
D20241108T034041_IFCB193,11,3.822,-52.60823517,47.30308583,2.8780743066457353
D20241108T071806_IFCB193,16,3.729,-52.79941583,46.66893083,4.290694556181282
D20241108T111212_IFCB125,2,4.37,-69.957882,43.792114,0.45766590389016015
D20241108T142217_IFCB125,1,4.311,-69.957882,43.792114,0.2319647413593134
D20241108T174253_IFCB193,5,3.123,-52.45735533,46.01286217,1.601024655779699
